Depth, mm	E1, um/m	E2, um/m	E3, um/m	Sx, MPa	Sy, MPa	tau_xy, MPa	S1, MPa	S2, MPa	beta, deg
0.05	-6.174173913044237	-7.188051383401212	-4.121324110674134	59.1	44.2	-13.5	67.1	36.2	0.5
0.1	-15.695181610152492	-5.556558976492889	1.6127686706885669	54.5	-40.1	24.3	60.4	-46.0	-0.2
0.15000000000000002	-24.16592094861667	-7.147463074682253	2.830888912004376	44.0	0.9	10.4	46.4	-1.5	-0.2
0.2	-31.087573538589066	-9.95357905750117	2.0043747353751087	30.6	13.5	3.5	31.3	12.9	-0.2
0.25	-36.38037402562356	-12.764994817605919	0.6515648686367399	17.3	13.3	0.1	17.3	13.3	-0.0
0.3	-40.239579669353795	-14.973544579595211	-0.42291881324874225	7.1	8.1	-1.1	8.8	6.3	-0.6
0.35000000000000003	-43.01325012542893	-16.400351368714006	-0.9190417956640893	0.3	1.9	-1.0	2.4	-0.2	-0.4
0.4	-45.10183743070692	-17.1464381294427	-0.862380480669831	-3.2	-3.9	0.2	-3.2	-4.0	-0.3
0.45	-46.87958619170503	-17.466407493972163	-0.45529879220061886	-3.2	-5.2	0.8	-2.9	-5.4	-0.3
0.5	-48.63774397630834	-17.66519020056399	0.041722169877175475	0.2	-3.9	1.4	0.6	-4.4	-0.3
0.55	-50.549581908735185	-18.017862161796714	0.3986014268434168	3.6	-1.4	1.4	3.9	-1.8	-0.2
0.6000000000000001	-52.65722546776041	-18.71253018269735	0.47402236934165387	9.3	3.6	0.7	9.4	3.5	-0.1
0.6500000000000001	-54.880295488195934	-19.816286328758828	0.2436439567325479	13.4	7.8	-0.8	13.5	7.7	0.1
0.7000000000000001	-57.046359365629534	-21.26423094384218	-0.20184113241438695	14.3	10.0	-2.9	15.8	8.6	0.5
0.7500000000000001	-58.943192464419376	-22.871564317966257	-0.6888013986933963	13.3	10.2	-4.9	16.9	6.6	0.6
0.8	-60.392849728948136	-24.36874700497969	-1.0229144690937915	5.6	4.1	-6.2	11.1	-1.4	0.7
0.8500000000000001	-61.34754749813338	-25.459728790121254	-1.0815680930990474	4.9	4.2	-4.9	9.5	-0.4	0.8
0.9000000000000001	-62.00735552319567	-25.903246307468038	-0.9364141876446155	2.7	1.8	-1.2	3.5	1.0	0.6
0.9500000000000001	-62.9596991886841	-25.617189307260478	-1.0060759309360385	-12.0	-15.5	9.7	-3.9	-23.6	-0.7
1.0	-65.34067193675952	-24.806035573123246	-2.2390079051406815	89.2	80.1	37.9	122.8	46.5	-0.7

E: 70000.0 MPa, nu: 0.3
alpha P: 2.2589775471557074e-07, alpha Q: 1.8654237718563306e-07, alpha T: 4.340958186966176e-07
